cusum_span,cusum_k,pt,sl,max_holding_days,max_holding_hours,cusum_events_count,barrier_events_count,take_profit_count,stop_loss_count,vertical_exit_count,take_profit_ratio_non_neutral,stop_loss_ratio_non_neutral,take_profit_ratio_total,stop_loss_ratio_total,vertical_exit_ratio_total
240,2.5,1.2,1.0,0,6,263,263,127,136,0,0.4828897338403042,0.5171102661596958,0.4828897338403042,0.5171102661596958,0.0
360,2.5,1.0,1.0,0,6,255,255,123,132,0,0.4823529411764706,0.5176470588235295,0.4823529411764706,0.5176470588235295,0.0
120,2.0,1.0,1.0,0,10,344,344,165,179,0,0.4796511627906977,0.5203488372093024,0.4796511627906977,0.5203488372093024,0.0
240,2.5,1.0,1.0,0,10,263,263,126,137,0,0.4790874524714829,0.5209125475285171,0.4790874524714829,0.5209125475285171,0.0
120,2.5,1.0,1.0,0,10,270,270,129,141,0,0.4777777777777778,0.5222222222222223,0.4777777777777778,0.5222222222222223,0.0
120,2.5,1.2,1.0,0,6,270,270,129,141,0,0.4777777777777778,0.5222222222222223,0.4777777777777778,0.5222222222222223,0.0
240,1.5,1.0,1.0,0,6,458,458,217,240,1,0.474835886214442,0.5251641137855579,0.4737991266375546,0.5240174672489083,0.002183406113537118
240,1.5,1.0,1.0,0,24,458,458,216,241,1,0.4726477024070022,0.5273522975929978,0.47161572052401746,0.5262008733624454,0.002183406113537118
360,1.5,1.0,1.0,0,10,452,452,213,238,1,0.4722838137472284,0.5277161862527716,0.47123893805309736,0.5265486725663717,0.0022123893805309734
360,2.5,1.2,1.0,0,6,255,255,120,135,0,0.47058823529411764,0.5294117647058824,0.47058823529411764,0.5294117647058824,0.0
360,1.5,1.0,1.0,0,24,452,452,212,239,1,0.4700665188470067,0.5299334811529933,0.4690265486725664,0.5287610619469026,0.0022123893805309734
240,1.5,1.0,1.0,0,10,458,458,214,243,1,0.4682713347921225,0.5317286652078774,0.4672489082969432,0.5305676855895196,0.002183406113537118
120,1.5,1.2,1.0,0,10,473,473,221,251,1,0.4682203389830508,0.5317796610169492,0.46723044397463004,0.5306553911205074,0.0021141649048625794
120,2.0,1.5,1.0,0,6,344,344,161,183,0,0.4680232558139535,0.5319767441860465,0.4680232558139535,0.5319767441860465,0.0
240,2.5,1.2,1.0,0,24,263,263,123,140,0,0.467680608365019,0.532319391634981,0.467680608365019,0.532319391634981,0.0
240,2.5,1.5,1.0,0,6,263,263,123,140,0,0.467680608365019,0.532319391634981,0.467680608365019,0.532319391634981,0.0
360,2.5,1.0,1.0,0,24,255,255,119,136,0,0.4666666666666667,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.0
120,1.5,1.2,1.0,0,24,473,473,220,252,1,0.4661016949152542,0.5338983050847458,0.46511627906976744,0.53276955602537,0.0021141649048625794
360,2.0,1.2,1.0,0,24,324,324,151,173,0,0.4660493827160494,0.5339506172839507,0.4660493827160494,0.5339506172839507,0.0
360,2.0,1.5,1.0,0,6,324,324,151,173,0,0.4660493827160494,0.5339506172839507,0.4660493827160494,0.5339506172839507,0.0
120,2.0,1.2,1.0,0,24,344,344,160,184,0,0.46511627906976744,0.5348837209302325,0.46511627906976744,0.5348837209302325,0.0
360,1.5,1.2,1.0,0,6,452,452,209,242,1,0.4634146341463415,0.5365853658536586,0.46238938053097345,0.5353982300884956,0.0022123893805309734
360,2.0,1.2,1.0,0,10,324,324,150,174,0,0.46296296296296297,0.5370370370370371,0.46296296296296297,0.5370370370370371,0.0
120,2.5,1.2,1.0,0,24,270,270,125,145,0,0.46296296296296297,0.5370370370370371,0.46296296296296297,0.5370370370370371,0.0
120,2.5,1.5,1.0,0,6,270,270,125,145,0,0.46296296296296297,0.5370370370370371,0.46296296296296297,0.5370370370370371,0.0
120,1.5,1.5,1.0,0,6,473,473,218,254,1,0.461864406779661,0.538135593220339,0.4608879492600423,0.5369978858350951,0.0021141649048625794
240,2.5,1.2,1.0,0,10,263,263,121,142,0,0.4600760456273764,0.5399239543726235,0.4600760456273764,0.5399239543726235,0.0
240,1.5,1.2,1.0,0,6,458,458,210,247,1,0.45951859956236324,0.5404814004376368,0.4585152838427948,0.5393013100436681,0.002183406113537118
120,2.0,1.2,1.0,0,10,344,344,158,186,0,0.45930232558139533,0.5406976744186046,0.45930232558139533,0.5406976744186046,0.0
120,2.5,1.2,1.0,0,10,270,270,124,146,0,0.45925925925925926,0.5407407407407407,0.45925925925925926,0.5407407407407407,0.0
360,2.5,1.0,1.0,0,10,255,255,117,138,0,0.4588235294117647,0.5411764705882353,0.4588235294117647,0.5411764705882353,0.0
240,2.0,1.5,1.0,0,10,328,328,150,177,1,0.45871559633027525,0.5412844036697247,0.4573170731707317,0.5396341463414634,0.003048780487804878
360,2.5,1.2,1.0,0,24,255,255,116,139,0,0.4549019607843137,0.5450980392156862,0.4549019607843137,0.5450980392156862,0.0
360,2.5,1.5,1.0,0,6,255,255,116,139,0,0.4549019607843137,0.5450980392156862,0.4549019607843137,0.5450980392156862,0.0
360,1.5,1.2,1.0,0,10,452,452,202,249,1,0.44789356984478934,0.5521064301552107,0.4469026548672566,0.5508849557522124,0.0022123893805309734
360,2.5,1.2,1.0,0,10,255,255,114,141,0,0.4470588235294118,0.5529411764705883,0.4470588235294118,0.5529411764705883,0.0
240,1.5,1.2,1.0,0,10,458,458,204,253,1,0.44638949671772427,0.5536105032822757,0.44541484716157204,0.5524017467248908,0.002183406113537118
360,1.5,1.5,1.0,0,6,452,452,201,250,1,0.44567627494456763,0.5543237250554324,0.4446902654867257,0.5530973451327433,0.0022123893805309734
240,1.5,1.2,1.0,0,24,458,458,203,254,1,0.4442013129102845,0.5557986870897156,0.4432314410480349,0.5545851528384279,0.002183406113537118
240,2.0,1.5,1.0,0,24,328,328,145,182,1,0.4434250764525994,0.5565749235474006,0.4420731707317073,0.5548780487804879,0.003048780487804878
360,1.5,1.2,1.0,0,24,452,452,199,252,1,0.44124168514412415,0.5587583148558758,0.44026548672566373,0.5575221238938053,0.0022123893805309734
240,2.5,1.5,1.0,0,10,263,263,116,147,0,0.44106463878326996,0.55893536121673,0.44106463878326996,0.55893536121673,0.0
120,1.5,1.5,1.0,0,10,473,473,208,264,1,0.4406779661016949,0.559322033898305,0.4397463002114165,0.5581395348837209,0.0021141649048625794
120,2.5,1.5,1.0,0,10,270,270,118,152,0,0.43703703703703706,0.562962962962963,0.43703703703703706,0.562962962962963,0.0
360,2.0,1.5,1.0,0,10,324,324,141,183,0,0.4351851851851852,0.5648148148148148,0.4351851851851852,0.5648148148148148,0.0
240,1.5,1.5,1.0,0,6,458,458,198,259,1,0.43326039387308535,0.5667396061269147,0.43231441048034935,0.5655021834061136,0.002183406113537118
120,2.0,1.5,1.0,0,10,344,344,148,196,0,0.43023255813953487,0.5697674418604651,0.43023255813953487,0.5697674418604651,0.0
240,2.5,1.5,1.0,0,24,263,263,113,150,0,0.4296577946768061,0.5703422053231939,0.4296577946768061,0.5703422053231939,0.0
360,2.0,1.5,1.0,0,24,324,324,139,185,0,0.42901234567901236,0.5709876543209876,0.42901234567901236,0.5709876543209876,0.0
360,2.5,1.5,1.0,0,10,255,255,109,146,0,0.42745098039215684,0.5725490196078431,0.42745098039215684,0.5725490196078431,0.0
120,1.5,1.5,1.0,0,24,473,473,200,272,1,0.423728813559322,0.576271186440678,0.42283298097251587,0.5750528541226215,0.0021141649048625794
360,1.5,1.5,1.0,0,10,452,452,191,260,1,0.42350332594235035,0.5764966740576497,0.4225663716814159,0.5752212389380531,0.0022123893805309734
120,2.5,1.5,1.0,0,24,270,270,114,156,0,0.4222222222222222,0.5777777777777777,0.4222222222222222,0.5777777777777777,0.0
120,2.0,1.5,1.0,0,24,344,344,145,199,0,0.42151162790697677,0.5784883720930233,0.42151162790697677,0.5784883720930233,0.0
360,2.5,1.5,1.0,0,24,255,255,106,149,0,0.41568627450980394,0.5843137254901961,0.41568627450980394,0.5843137254901961,0.0
240,1.5,1.5,1.0,0,10,458,458,189,267,2,0.4144736842105263,0.5855263157894737,0.4126637554585153,0.5829694323144105,0.004366812227074236
360,1.5,1.5,1.0,0,24,452,452,183,268,1,0.4057649667405765,0.5942350332594235,0.40486725663716816,0.5929203539823009,0.0022123893805309734
240,1.5,1.5,1.0,0,24,458,458,184,272,2,0.40350877192982454,0.5964912280701754,0.4017467248908297,0.5938864628820961,0.004366812227074236
