fitness_avg_pic,expression,depth,length,factor_order_in_model,sym,freq,y_train_ret_period,start_date_train,end_date_train,start_date_test,end_date_test,metric,current_time
,"ts_delta_8(mul(ts_argmin_20(TS_CORR_20(c_ta_tsf_5, v_rsi_24_obv)), fm20))",4,7,alpha_923,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_argmin_20(ta_dx_25(ta_trima_21(v_bop_sum), ta_ema_55(ori_trix_8), ta_beta_10(v_rsi_6_sum, v_rsi_6_sum)))",3,9,alpha_924,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_mom_12(ta_beta_10(ta_trix_8(sqrt(ts_max_10(toptrader_oi_lsr))), ta_aroonosc_25(ta_tema_55(c_power_c), ta_atr_25(ta_minus_dm_14(ori_cmo_25, ori_trix_55), ts_skew_40(v_cmo_14_obv), ts_delta_3(cci_14)))))",5,17,alpha_925,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TS_COV_20(oi_ccy, ta_lr_intercept_10(ts_prod_17(ta_lr_intercept_10(ori_ta_ad))))",4,6,alpha_926,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_beta_5(ts_argmax_20(ts_argmin_5(ts_sum_3(ta_minus_dm_14(ma15_c, sarext)))), ta_lr_intercept_10(ta_mfi_25(ta_dema_21(cci_25), log(TS_COV_40(v_rsi_6_sum, ori_ta_bop)), max(ts_min_20(v_ts_argrange_10), ts_min_10(h_ta_lr_angle_10)), ts_prod_17(inv(cci_14)))))",5,23,alpha_927,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ta_lr_intercept_10(ta_mom_25(ta_lr_slope_5(v_cci_25_obv))),3,4,alpha_928,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_lag_3(ta_tsf_10(TS_CORR_20(ts_lag_17(ori_ta_ad), ts_argrange_20(ts_range_5(ori_trix_55)))))",5,8,alpha_929,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ts_argmax_20(sarext),1,2,alpha_930,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_mean_return_20(ts_sum_3(ta_trix_55(ta_ema_21(TS_CORR_20(taker_vol_lsr, ts_prod_8(volume_macd))))))",6,8,alpha_931,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_kurt_20(div(ta_lr_angle_20(ts_delta_8(TA_TRANGE(v_rsi_12_obv, TS_COV_40(v_sar_obv, cci_14), ts_sma_21(ori_trix_55)))), ta_beta_20(ta_rsi_24(TA_SAR(sarext, v_rsi_6_obv)), ta_dx_14(ts_min_5(trades), TS_COV_40(ori_rsi_12, c_power_c), TA_BOP(oi_ccy, h, ori_ta_ad, sarext)))))",6,27,alpha_932,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_trima_8(ts_range_5(elu(sub(o_ts_range_10, ma8_c))))",4,6,alpha_933,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_argrange_5(TA_BOP(ta_lr_angle_5(ts_argmax_5(v_rsi_24_sum)), ts_min_20(TA_BOP(fm40, v_rsi_6_obv, lgp_shortcut_illiq_6, ori_rsi_6)), add(ts_rank_5(v_rsi_6_sum), ta_tsf_10(v_power_a)), ta_dx_25(ts_argmax_20(v_rsi_12_obv), ts_prod_3(ta_lr_intercept_5(ts_prod_3(v_rsi_12_obv))), ta_rsi_24(v_power_a))))",6,25,alpha_934,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ta_ema_21(v_rsi_6_obv),1,2,alpha_935,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_kurt_20(TA_SAR(sarext, fm40))",2,4,alpha_936,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TS_CORR_20(ts_sma_21(ts_rank_10(ts_max_10(sarext))), ts_delta_8(ta_aroonosc_25(ta_rocr_14(ta_beta_20(sarext, o)), fm30)))",5,12,alpha_937,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_mean_return_20(abs(ta_dx_25(elu(v_bop_sum), ts_skew_20(ta_ema_21(ts_max_20(ts_sma_8(obv_v)))), max(v_trix_8_obv, fm30))))",7,13,alpha_938,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_mom_12(ta_beta_10(ta_trix_8(sqrt(ts_max_10(toptrader_oi_lsr))), ta_aroonosc_25(ts_kurt_20(TS_CORR_20(ts_sum_17(ori_rsi_6), ma25_c)), ta_atr_25(ta_minus_dm_14(ori_cmo_25, ori_trix_55), ts_skew_40(v_cmo_14_obv), ts_delta_3(cci_14)))))",6,20,alpha_939,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_prod_17(ta_willr_25(ta_trima_55(ts_delta_8(v_ts_range_5)), oi_ccy, c_ts_sma_21))",4,7,alpha_940,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TS_CORR_20(ta_lr_slope_20(TA_SAR(ts_max_20(v_rsi_24_obv), ts_argmin_20(ad_real))), ts_std_10(TA_TRANGE(sarext, fm60, ma15_c)))",4,12,alpha_941,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_dx_14(ta_dx_25(ta_lr_slope_5(ta_aroonosc_14(v_rsi_24_obv, vol_ccy)), ts_sum_8(ts_sum_3(c_power_c)), inv(ta_minus_dm_14(l_line, h_ts_kurt_20))), ts_lag_17(vol), ta_atr_25(ts_range_10(ta_rsi_12(taker_vol_lsr)), ta_dx_25(ta_ema_21(m_line), ta_trix_8(vol), sub(ori_ta_ad, c_ts_argrange_10)), ts_min_20(ta_beta_20(v_rsi_6_obv, ori_ta_bop))))",4,31,alpha_942,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_lr_slope_5(ta_tsf_5(TS_CORR_20(ta_rsi_12(v_rsi_6_sum), ta_ema_8(ta_lr_slope_5(ta_willr_14(ta_minus_dm_14(ori_rsi_6, l_ts_day_min_40), ta_dema_21(l), ta_mfi_14(h, v_rsi_24_sum, c_ts_sma_21, sar_close)))))))",7,18,alpha_943,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_dx_25(ts_mean_return_5(oi_ccy), ta_beta_20(ta_rsi_24(TA_SAR(sarext, v_rsi_6_obv)), ta_dx_14(ts_min_5(trades), TS_COV_40(ori_rsi_12, c_power_c), TA_BOP(oi_ccy, h, ori_ta_ad, sarext))), ta_rocp_25(l_ts_prod_8))",4,21,alpha_944,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TS_CORR_40(ts_argmin_5(ta_beta_20(TS_COV_20(ts_prod_17(v_rsi_6_obv), ta_lr_slope_20(ma25_c)), ta_mom_25(ts_std_10(volume_macd)))), ts_argmin_20(ta_dema_8(v_rsi_12_obv)))",5,14,alpha_945,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_argrange_20(ts_kurt_20(ta_minus_di_14(ta_aroonosc_25(ta_lr_intercept_20(ori_cmo_25), ts_kurt_10(stdevrate)), ta_tema_8(TA_BOP(v_ts_sma_21, ori_ta_macd, m_line, sar_index)), ts_range_20(v_trix_8_obv))))",5,16,alpha_946,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_trix_55(ts_prod_8(TS_COV_40(ts_kurt_10(ta_trix_8(TS_COV_20(TA_SAR(mfi_30, ma35_c), ta_minus_dm_14(ori_trix_21, ori_ta_bop)))), ta_rocr_25(ts_max_20(l_ts_argmax_20)))))",7,15,alpha_947,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ts_delta_17(ta_ema_55(v_trix_8_obv)),2,3,alpha_948,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_skew_20(ta_tsf_5(ta_lr_intercept_5(ta_atr_14(ori_trix_8, sar_close, v_sar_obv))))",4,7,alpha_949,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_std_10(ts_kurt_40(ts_kurt_10(ta_dema_55(TS_CORR_40(ad_index, ta_trix_8(ta_cci_14(l_ts_prod_8, tr_index, fm20)))))))",7,11,alpha_950,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ts_skew_20(sarext),1,2,alpha_951,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_trima_21(ta_lr_slope_20(ta_ema_55(ta_rocp_25(sub(fm30, oi_ccy)))))",5,7,alpha_952,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ta_lr_intercept_5(ta_lr_angle_5(ts_delta_17(ad_index))),3,4,alpha_953,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TS_CORR_20(ta_dema_8(TS_CORR_20(ori_ta_ad, o_ts_range_10)), obv_v)",3,6,alpha_954,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_rocr_25(TS_COV_40(sin(ta_tsf_10(ta_tema_55(ts_sma_21(v_cci_25_obv)))), ori_trix_8))",6,8,alpha_955,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_mom_25(TA_BOP(ta_lr_slope_5(ts_delta_3(c_ts_argrange_10)), ts_argmax_5(ta_rocr_14(TS_CORR_20(h_line, ori_ta_obv))), add(div(v_ts_day_max_20, v_ts_range_5), ts_lag_17(h)), ts_delta_3(ts_kurt_10(trades))))",5,19,alpha_956,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_prod_17(ts_lag_3(ta_lr_slope_5(ta_willr_14(tanh(ma55_c), ta_dema_21(l), ta_mfi_14(h, v_rsi_24_sum, c_ts_sma_21, sar_close)))))",5,13,alpha_957,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_prod_17(ta_beta_5(ta_aroonosc_25(ts_sum_17(ts_max_20(ts_argmin_10(v_rsi_6_sum))), ta_rocp_14(ts_argmax_10(toptrader_oi_lsr))), TS_CORR_40(div(ta_minus_dm_14(oi_ccy, close_macd), ta_beta_10(oi, oi_ccy)), ts_max_5(elu(vol_ccy)))))",6,21,alpha_958,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_argrange_20(ts_std_10(TA_SAR(ta_dx_14(kdj_d, ts_rank_10(h_ts_kurt_20), TA_HT_DCPHASE(taker_vol_lsr)), ma15_c)))",5,10,alpha_959,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_lr_angle_20(ts_std_10(ta_minus_di_14(c_ts_sma_21, ta_mom_25(v_rsi_6_obv), v_trix_8_obv)))",4,7,alpha_960,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_mfi_25(TS_COV_20(ta_tema_21(ta_cmo_25(ta_cci_14(ori_ta_bop, v_rsi_12_sum, l_ts_argrange_5))), ts_wma_21(log(ts_sma_8(vol_ccy)))), ts_wma_55(ts_lag_17(ta_tsf_10(ta_cci_14(ori_rsi_12, l_ts_argmax_20, ori_trix_8)))), ta_minus_di_25(tanh(ts_delta_17(ta_rsi_24(obv_v))), ta_dema_55(ts_range_20(ta_rsi_24(cci_25))), ta_tema_8(ta_cmo_25(ts_kurt_40(m_line)))), ta_tsf_20(ts_sma_55(ts_max_5(ts_range_5(sarext)))))",5,37,alpha_961,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_beta_5(ts_min_10(ta_beta_5(ori_rsi_24, ori_rsi_24)), ts_prod_3(ta_beta_10(ts_wma_55(ta_ema_21(sarext)), ta_dema_8(ta_lr_angle_20(sarext)))))",5,13,alpha_962,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_mean_return_20(TA_TRANGE(ori_trix_55, l_ts_day_min_40, ori_ta_ad))",2,5,alpha_963,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_beta_5(ta_trix_8(ts_wma_21(elu(TS_CORR_20(ta_trix_55(ts_argrange_5(ta_cci_25(v_bop_sum, close_macd, fm60))), ts_argmax_20(ta_trima_8(mul(fm40, c_ts_sma_21))))))), ta_trix_8(ta_ema_8(TA_SAR(ori_ta_obv, fm60))))",8,21,alpha_964,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ts_kurt_20(ts_argmax_5(ta_tema_8(v_rsi_24_obv))),3,4,alpha_965,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"sin(ta_rocp_14(TA_SAR(v_rsi_12_obv, ori_ta_bop)))",3,5,alpha_966,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_argrange_20(ts_std_10(ta_tema_8(ts_mean_return_20(ts_prod_17(ta_minus_di_14(ta_beta_20(cci_55, sarext), ta_lr_intercept_20(sarext), max(kdj_d, l_ts_day_min_40)))))))",7,14,alpha_967,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ts_min_20(ta_mom_12(ts_wma_21(ta_dema_8(sarext)))),4,5,alpha_968,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_mfi_14(TA_SAR(v_rsi_12_obv, ma25_c), v_rsi_24_obv, TA_BOP(ts_prod_17(l_ts_day_min_40), ta_lr_slope_20(o), ts_sum_17(l), ts_skew_40(c_ts_argrange_10)), ts_std_40(stdevrate))",3,16,alpha_969,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ts_prod_17(ta_lr_slope_20(ma25_c)),2,3,alpha_970,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TS_CORR_20(ts_lag_17(sqrt(sarext)), ts_delta_8(ta_aroonosc_25(v_rsi_12_obv, fm30)))",3,8,alpha_971,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TS_CORR_20(ta_cmo_14(ts_lag_8(v_rsi_24_sum)), ts_delta_8(ta_aroonosc_25(v_rsi_12_obv, fm30)))",3,8,alpha_972,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"cos(sqrt(TS_COV_20(ts_sum_3(ts_delta_8(ts_prod_17(ta_ema_55(toptrader_oi_lsr)))), ts_lag_8(ta_lr_intercept_10(ori_ta_ad)))))",7,11,alpha_973,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_rank_10(ts_delta_17(ta_minus_dm_25(v_trix_8_obv, ad_index)))",3,5,alpha_974,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"div(ta_ema_55(ta_lr_slope_20(TS_COV_20(ta_atr_14(v_ts_argrange_10, m_line, vol), ta_minus_di_14(ori_ta_ad, tr_index, sarext)))), ts_argmax_20(ts_max_10(ts_range_5(ad_index))))",5,16,alpha_975,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TA_SAR(ta_beta_20(ta_ema_55(tan(h_ts_argmax_5)), ta_dema_55(ts_max_10(v_rsi_12_obv))), ts_sum_8(TA_HT_DCPHASE(ts_lag_8(ts_sma_21(v_power_a)))))",5,13,alpha_976,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_argmin_5(ts_range_10(ta_minus_di_25(ts_kurt_20(ts_argmin_20(sarext)), elu(ta_trima_55(sarext)), sqrt(sarext))))",5,11,alpha_977,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ta_lr_angle_5(ts_prod_17(ts_argmin_10(ta_dema_8(v_rsi_12_obv)))),4,5,alpha_978,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_skew_20(ts_argmax_10(ts_delta_17(ta_willr_14(vol_ccy, m_line, l_line))))",4,7,alpha_979,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_skew_40(ta_minus_dm_14(ta_rsi_24(m_line), sarext))",3,5,alpha_980,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"sqrt(TA_BOP(ta_dema_21(cci_25), tanh(h_ta_lr_angle_10), ta_dx_14(v_ts_day_max_20, c_power_c, cci_14), ta_beta_20(toptrader_count_lsr, c_ts_argrange_10)))",3,13,alpha_981,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_wma_8(ts_sum_8(TS_CORR_20(ts_skew_40(div(v_cci_25_sum, cci_14)), ts_argrange_5(ta_lr_slope_20(v_sar_obv)))))",5,10,alpha_982,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TS_CORR_20(ta_beta_10(ta_trix_8(sqrt(ts_max_10(toptrader_oi_lsr))), ta_aroonosc_25(ts_kurt_20(ts_sma_8(ma15_c)), ta_atr_25(ta_minus_dm_14(ori_cmo_25, ori_trix_55), ts_skew_40(v_cmo_14_obv), ts_delta_3(cci_14)))), ta_beta_5(tan(ts_sma_21(ori_trix_21)), o_ts_range_10))",5,23,alpha_983,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TS_CORR_20(tanh(ts_kurt_20(TA_SAR(sarext, fm40))), ts_sum_8(ta_lr_angle_5(ta_tsf_10(ta_cmo_14(sarext)))))",5,11,alpha_984,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ts_rank_10(ts_delta_3(ori_ta_ad)),2,3,alpha_985,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_delta_8(mul(ts_argmin_20(TS_CORR_20(c_ta_tsf_5, v_rsi_24_obv)), ta_cmo_14(v_cci_25_obv)))",4,8,alpha_986,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ts_kurt_20(ts_sma_21(v_rsi_24_sum)),2,3,alpha_987,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_dx_14(v_rsi_24_sum, TA_BOP(ta_minus_di_25(v_ts_argrange_10, c_ts_sma_21, sarext), r, cos(TA_SAR(ts_argrange_10(ta_trix_21(o)), ori_rsi_24)), toptrader_oi_lsr), ts_argmax_5(ta_dx_25(ma8_c, h_ts_std_10, o_ta_lr_slope_10)))",6,20,alpha_988,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_tema_21(ts_kurt_10(mul(TA_SAR(ori_ta_obv, v_rsi_24_sum), ta_lr_slope_5(ts_sma_8(ori_ta_bop)))))",5,9,alpha_989,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"abs(ta_dema_21(ts_wma_8(ts_prod_17(ta_beta_5(ta_aroonosc_25(elu(ta_dema_21(sar_close)), ta_rocp_14(ts_argmax_10(toptrader_oi_lsr))), TS_CORR_40(div(ta_minus_dm_14(oi_ccy, close_macd), ta_beta_10(oi, oi_ccy)), ts_max_5(elu(vol_ccy))))))))",8,23,alpha_990,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_mfi_25(TA_BOP(ts_kurt_40(sub(v_power_a, v_cmo_14_obv)), ta_trix_55(ta_tema_21(mfi_index)), ta_lr_slope_20(abs(m_line)), ta_lr_angle_10(ta_aroonosc_25(l_ts_argrange_5, c_ta_tsf_5))), ta_lr_slope_10(ori_ta_obv), ta_rocr_14(tanh(ta_tema_8(v_cmo_14_obv))), ts_prod_17(ta_dema_8(ta_beta_20(ori_trix_55, ma15_c))))",4,27,alpha_991,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,sqrt(ta_lr_angle_10(ts_delta_17(ta_dema_55(ts_lag_8(ts_sma_21(v_power_a)))))),6,7,alpha_992,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_cmo_25(ta_dema_55(ta_beta_10(v_rsi_12_sum, ta_trima_55(ts_delta_17(ori_ta_ad)))))",5,7,alpha_993,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TS_CORR_20(ts_skew_20(ta_aroonosc_25(ts_skew_40(ma35_c), kdj_k)), ta_trix_8(ta_rsi_24(toptrader_count_lsr)))",4,9,alpha_994,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TS_CORR_40(ta_atr_25(ta_lr_slope_5(v_ts_std_20), ta_lr_intercept_20(r), ta_trima_21(count_lsr)), ts_argmin_5(TA_SAR(v_ts_std_20, v_rsi_6_sum)))",3,12,alpha_995,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"cos(ta_beta_5(ta_trima_21(ta_dema_8(v_rsi_12_obv)), ts_argmax_5(div(v_rsi_6_obv, v_rsi_12_sum))))",4,9,alpha_996,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_skew_20(ts_rank_10(TS_CORR_20(ta_dx_25(l_ts_argrange_5, toptrader_count_lsr, sarext), c_power_c)))",4,8,alpha_997,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_lr_angle_20(ts_std_10(ts_sum_8(tan(ta_mfi_25(ts_skew_10(ma55_c), mul(v_cci_25_sum, l_ts_prod_8), ppo, ts_range_20(ta_trima_8(l_ts_prod_8)))))))",7,14,alpha_998,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_argmin_10(ta_beta_20(ta_tema_21(ta_lr_intercept_10(ori_ta_obv)), ta_cci_14(ts_std_40(fm60), ad_index, cci_55)))",4,10,alpha_999,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_mfi_25(ta_mom_25(count_lsr), ta_rocp_25(l), tan(v_cci_25_sum), ts_sma_8(obv_v))",2,9,alpha_1000,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TS_COV_40(ts_range_5(ta_minus_dm_25(ta_lr_slope_20(mfi_30), ts_wma_8(ori_cmo_25))), abs(ta_beta_20(ta_beta_20(ta_ema_8(ts_lag_17(ori_ta_ad)), log(ta_rsi_6(fm20))), ts_sum_17(fm20))))",6,18,alpha_1001,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TA_BOP(ts_argrange_5(ts_skew_40(ta_rocp_25(add(c_ts_sma_21, v_ts_std_20)))), ts_mean_return_10(ts_prod_17(ta_ema_55(toptrader_oi_lsr))), ts_lag_3(ma55_c), c)",5,14,alpha_1002,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"tanh(TS_COV_40(stdevrate, ta_minus_dm_14(ts_delta_3(o), ta_dema_55(taker_vol_lsr))))",4,8,alpha_1003,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_beta_5(ts_sma_21(ts_kurt_10(ta_trix_8(TS_COV_20(ad_index, h_ts_std_10)))), ta_ema_55(v_power_a))",5,9,alpha_1004,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_dx_14(ta_dema_21(ts_lag_8(ta_tsf_10(TA_SAR(fm20, v_rsi_6_sum)))), ta_trima_21(min(TA_HT_DCPHASE(ta_rsi_12(ori_rsi_24)), sub(ts_argmin_10(ts_sma_55(ta_mom_12(v_sar_obv))), ta_rocr_14(lgp_shortcut_illiq_6)))), ts_min_5(ta_lr_intercept_10(ts_range_10(ta_atr_25(h_ts_argmax_5, c_power_c, ma55_c)))))",7,26,alpha_1005,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_delta_17(ts_argmax_5(ts_prod_17(ta_beta_5(ta_aroonosc_25(elu(ta_dema_21(sar_close)), ta_rocp_14(ts_argmax_10(toptrader_oi_lsr))), TS_CORR_40(div(ta_minus_dm_14(oi_ccy, close_macd), ta_beta_10(oi, oi_ccy)), ts_max_5(elu(vol_ccy)))))))",7,22,alpha_1006,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_lr_angle_5(ta_rsi_12(ta_rocr_14(div(min(ta_minus_dm_25(o_ta_lr_slope_10, obv_v), ts_sma_8(ma8_c)), ts_mean_return_5(volume_macd)))))",6,12,alpha_1007,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_rocp_14(ta_mfi_25(sarext, c_ta_tsf_5, l, c_ta_tsf_5))",2,6,alpha_1008,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"min(TS_CORR_20(vol_ccy, ori_ta_ad), ta_lr_angle_5(TS_COV_20(obv_v, vol)))",3,8,alpha_1009,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_mfi_25(ts_max_20(TA_SAR(l_ts_argrange_5, ori_rsi_24)), sub(ts_kurt_40(cci_14), ts_delta_8(sarext)), ta_tsf_20(neg(ori_rsi_24)), ts_mean_return_20(ts_max_5(TS_CORR_20(ta_tsf_10(ts_rank_20(h_ts_std_10)), ts_mean_return_20(ts_min_5(cci_55))))))",6,22,alpha_1010,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_argrange_5(ts_kurt_10(ts_prod_17(ta_minus_dm_25(ta_dema_8(ori_trix_55), ta_rocr_25(ppo)))))",5,8,alpha_1011,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ts_skew_20(ta_trix_21(ts_std_10(v_cmo_14_obv))),3,4,alpha_1012,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_lag_17(TA_BOP(c_ts_sma_21, ori_trix_8, c_power_c, toptrader_count_lsr))",2,6,alpha_1013,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_beta_5(ta_cmo_14(ts_argmin_20(ts_max_5(ori_ta_obv))), ta_rsi_24(TS_CORR_20(c_ta_tsf_5, v_ts_day_max_20)))",4,9,alpha_1014,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TS_COV_20(ta_cmo_14(TS_CORR_40(sarext, l_ts_argmax_20)), ts_sum_17(ta_trix_8(o_ta_lr_slope_10)))",3,8,alpha_1015,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_prod_8(ta_dema_55(ta_beta_20(ts_sma_21(ts_max_10(ta_beta_5(tanh(ts_sum_17(v_rsi_12_obv)), TS_CORR_40(ts_argrange_20(ad_index), ta_rsi_24(sar_close))))), cci_55)))",8,15,alpha_1016,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TS_CORR_20(ta_tema_55(ta_lr_slope_10(ad_index)), ts_rank_5(ta_mom_12(ad_index)))",3,7,alpha_1017,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TS_CORR_40(count_lsr, ori_cmo_25)",1,3,alpha_1018,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"mul(ta_tsf_20(sarext), ta_willr_14(sarext, c_ts_day_min_40, v_cmo_14_obv))",2,7,alpha_1019,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
