fitness_avg_pic,expression,depth,length,factor_order_in_model,sym,freq,y_train_ret_period,start_date_train,end_date_train,start_date_test,end_date_test,metric,current_time
,"TA_BOP(log(ts_rank_5(ts_std_10(v_rsi_24_sum))), ta_mom_12(ts_prod_3(ta_tema_21(ta_dema_8(v_cmo_14_obv)))), max(ta_trima_55(ts_std_20(cci_25)), ta_rsi_12(ta_rsi_6(cci_25))), ta_cci_14(ts_rank_10(ta_lr_slope_10(fm30)), ts_rank_5(TS_CORR_20(mfi_30, m_line)), ts_range_20(ts_std_40(l_ts_argmax_20))))",5,28,alpha_27,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_lr_intercept_5(ts_kurt_40(TA_SAR(ori_rsi_12, v_bop_sum)))",3,5,alpha_28,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ts_prod_17(ta_rocr_14(ts_max_10(ta_ema_8(ts_lag_17(ts_min_10(ta_lr_slope_5(sarext))))))),7,8,alpha_29,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_beta_20(ts_std_20(ta_beta_20(ta_minus_dm_14(v_trix_8_obv, lgp_shortcut_illiq_6), v_rsi_12_obv)), ts_argmax_20(ta_trima_55(l_ts_argrange_5)))",4,10,alpha_30,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ts_argmin_5(ts_lag_3(v_bop_sum)),2,3,alpha_31,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ts_range_10(ta_lr_intercept_10(ori_ta_obv)),2,3,alpha_32,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_beta_5(ori_trix_21, sarext)",1,3,alpha_33,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TS_CORR_20(sarext, ta_willr_14(ts_kurt_20(ta_tsf_10(v_trix_8_obv)), ta_ema_8(ori_rsi_24), elu(ta_mom_25(v_rsi_12_obv))))",4,11,alpha_34,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_sma_8(ts_argrange_20(tan(ts_sum_17(ta_mfi_25(ori_ta_obv, ori_trix_8, trades, v_rsi_24_obv)))))",5,9,alpha_35,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_argrange_5(ta_mfi_14(ts_wma_55(sar_index), ta_minus_di_14(ori_ta_ad, v_ts_day_max_20, cci_14), ta_willr_14(vol_ccy, ori_ta_obv, v_rsi_6_obv), ts_std_40(v_ts_std_20)))",3,14,alpha_36,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_mfi_25(cos(fm20), ta_mom_12(v_bop_sum), ta_atr_14(toptrader_count_lsr, o_ta_lr_slope_10, v_rsi_6_obv), TS_CORR_20(cci_55, sarext))",2,12,alpha_37,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_dx_25(tan(ts_std_10(c_power_c)), ta_tema_55(TS_CORR_20(ta_tsf_20(sarext), ts_lag_8(mfi_30))), c_ts_argrange_10)",4,11,alpha_38,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_range_5(elu(ta_dx_14(v_trix_8_obv, sarext, o_ts_argmin_10)))",3,6,alpha_39,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_argrange_20(ts_kurt_20(ta_minus_di_14(ta_aroonosc_25(ta_lr_intercept_20(ori_cmo_25), ta_mom_25(ta_rsi_6(ts_sum_3(v_cci_25_obv)))), ta_tema_8(TA_BOP(v_ts_sma_21, ori_ta_macd, m_line, sar_index)), ta_rsi_24(TA_HT_DCPERIOD(kdj_d)))))",7,19,alpha_40,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ts_rank_10(ta_rocp_14(ta_trima_8(ts_sum_17(v_trix_8_obv)))),4,5,alpha_41,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TS_COV_20(elu(sarext), ts_mean_return_10(kdj_d))",2,5,alpha_42,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_mean_return_10(TA_BOP(sqrt(ta_dema_8(v_bop_sum)), TA_HT_DCPERIOD(ta_trix_8(ad_index)), ts_sum_17(cos(ori_ta_obv)), ts_kurt_10(ts_prod_17(ta_minus_dm_25(ta_dema_8(ori_trix_55), ts_sum_17(ori_cmo_25))))))",6,18,alpha_43,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,tan(ta_rocr_14(ta_dema_21(ts_argrange_10(ta_trima_8(tan(sarext)))))),6,7,alpha_44,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
